User:1522130354 Word,User:1522130354 TFIDF,User:1522130355 Word,User:1522130355 TFIDF,User:1521757806 Word,User:1521757806 TFIDF
chat,0.5493061443340549,chat,0.5493061443340549,chat,0.5915604631289821
chris,0.5493061443340549,chris,0.5493061443340549,chris,0.5915604631289821
click,0.5493061443340549,click,0.5493061443340549,click,0.5915604631289821
clicked,0.5493061443340549,clicked,0.5493061443340549,clicked,0.5915604631289821
clustername,0.5493061443340549,clustername,0.5493061443340549,clustername,0.5915604631289821
com,0.0,com,0.0,com,0.0
comi,0.5493061443340549,comi,0.5493061443340549,comi,0.5915604631289821
company,0.5493061443340549,company,0.5493061443340549,company,0.5915604631289821
complete,0.5493061443340549,complete,0.5493061443340549,complete,0.5915604631289821
complicated,0.5493061443340549,complicated,0.5493061443340549,complicated,0.5915604631289821
conferencing,0.5493061443340549,conferencing,0.5493061443340549,conferencing,0.5915604631289821
connect,0.5493061443340549,connect,0.5493061443340549,connect,0.5915604631289821
connecting,0.5493061443340549,connecting,0.5493061443340549,connecting,0.5915604631289821
connection,0.5493061443340549,connection,1.0986122886681098,connection,0.5493061443340549
console,0.5493061443340549,console,0.5493061443340549,console,0.5915604631289821
course,0.5493061443340549,course,0.5493061443340549,course,0.5915604631289821
create,0.5493061443340549,create,0.5493061443340549,create,0.5915604631289821
created,0.5493061443340549,created,0.5493061443340549,created,0.5915604631289821
csv,0.5493061443340549,csv,0.5493061443340549,csv,0.5915604631289821
d,0.8239592165010823,d,0.5493061443340549,d,0.5493061443340549
data,0.3040988310811233,data,0.2027325540540822,data,0.2183273659043962
david,0.5493061443340549,david,0.5493061443340549,david,0.5915604631289821
days,0.5493061443340549,days,0.5493061443340549,days,0.5915604631289821
dean,0.5493061443340549,dean,0.5493061443340549,dean,0.5915604631289821
delivery,0.5493061443340549,delivery,1.0986122886681098,delivery,0.5493061443340549
develop,0.5493061443340549,develop,0.5493061443340549,develop,0.5915604631289821
developer,0.5493061443340549,developer,1.0986122886681098,developer,0.5493061443340549
different,0.5493061443340549,different,0.5493061443340549,different,0.5915604631289821
don,0.5493061443340549,don,0.5493061443340549,don,0.5915604631289821
easier,0.5493061443340549,easier,0.5493061443340549,easier,0.5915604631289821
easy,0.5493061443340549,easy,0.5493061443340549,easy,0.5915604631289821
eclipse,0.5493061443340549,eclipse,0.5493061443340549,eclipse,0.5915604631289821
edu,0.5493061443340549,edu,0.5493061443340549,edu,0.5915604631289821
else,0.5493061443340549,else,0.5493061443340549,else,0.5915604631289821
email,0.5493061443340549,email,0.5493061443340549,email,0.5915604631289821
empty,0.5493061443340549,empty,0.5493061443340549,empty,0.5915604631289821
enjoy,0.5493061443340549,enjoy,0.5493061443340549,enjoy,0.5915604631289821
enterprise,0.5493061443340549,enterprise,0.5493061443340549,enterprise,0.5915604631289821
especally,0.5493061443340549,especally,0.5493061443340549,especally,0.5915604631289821
even,0.5493061443340549,even,0.5493061443340549,even,0.5915604631289821
everyone,0.5493061443340549,everyone,0.5493061443340549,everyone,0.5915604631289821
exactly,0.5493061443340549,exactly,0.5493061443340549,exactly,0.5915604631289821
expert,0.5493061443340549,expert,0.5493061443340549,expert,0.5915604631289821
expires,0.5493061443340549,expires,0.5493061443340549,expires,0.5915604631289821
express,0.5493061443340549,express,0.5493061443340549,express,0.5915604631289821
express3-handlebars,0.5493061443340549,express3-handlebars,0.5493061443340549,express3-handlebars,0.5915604631289821
figure,0.5493061443340549,figure,0.5493061443340549,figure,0.5915604631289821
figured,0.5493061443340549,figured,0.5493061443340549,figured,0.5915604631289821
find,0.5493061443340549,find,1.0986122886681098,find,0.5493061443340549
finish,0.5493061443340549,finish,1.0986122886681098,finish,0.5493061443340549
first,0.5493061443340549,first,0.5493061443340549,first,0.5915604631289821
floor,0.5493061443340549,floor,0.5493061443340549,floor,0.5915604631289821
foo,0.3040988310811233,foo,0.2027325540540822,foo,0.2183273659043962
forwarded,0.5493061443340549,forwarded,0.5493061443340549,forwarded,0.5915604631289821
gather,0.5493061443340549,gather,0.5493061443340549,gather,0.5915604631289821
geo,0.8239592165010823,geo,0.5493061443340549,geo,0.5493061443340549
geolocation,0.5493061443340549,geolocation,0.5493061443340549,geolocation,0.5915604631289821
get,0.5493061443340549,get,0.5493061443340549,get,0.5915604631289821
give,0.5493061443340549,give,0.5493061443340549,give,0.5915604631289821
going,0.0,going,0.0,going,0.0
gomm,0.5493061443340549,gomm,0.5493061443340549,gomm,0.5915604631289821
good,0.5493061443340549,good,0.5493061443340549,good,0.5915604631289821
gov,0.5493061443340549,gov,0.5493061443340549,gov,0.5915604631289821
great,0.5493061443340549,great,0.5493061443340549,great,0.5915604631289821
group,0.5493061443340549,group,0.5493061443340549,group,0.5915604631289821
guess,0.5493061443340549,guess,0.5493061443340549,guess,0.5915604631289821
gz,0.5493061443340549,gz,0.5493061443340549,gz,0.5915604631289821
hadoop,0.3040988310811233,hadoop,0.2027325540540822,hadoop,0.2183273659043962
haha,0.5493061443340549,haha,0.5493061443340549,haha,0.5915604631289821
handling,0.5493061443340549,handling,0.5493061443340549,handling,0.5915604631289821
happens,0.5493061443340549,happens,0.5493061443340549,happens,0.5915604631289821
hard,0.5493061443340549,hard,0.5493061443340549,hard,0.5915604631289821
hbase,0.5493061443340549,hbase,0.5493061443340549,hbase,0.5915604631289821
hbaserest,0.5493061443340549,hbaserest,0.5493061443340549,hbaserest,0.5915604631289821
hdinsight,0.5493061443340549,hdinsight,0.5493061443340549,hdinsight,0.5915604631289821
hello,0.8239592165010823,hello,0.5493061443340549,hello,0.5493061443340549
help,0.3040988310811233,help,0.2027325540540822,help,0.2183273659043962
hey,0.5493061443340549,hey,0.5493061443340549,hey,0.5915604631289821
hi,0.0,hi,0.0,hi,0.0
